Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,8,0.6100000000000001,symmetric,0.3787076109937506
75% Corpus,8,0.81,0.01,0.36903643648334783
75% Corpus,8,0.81,0.21000000000000002,0.36968561358126184
75% Corpus,8,0.81,0.41000000000000003,0.3760454148674334
75% Corpus,8,0.81,0.6100000000000001,0.37764860554226626
75% Corpus,8,0.81,0.81,0.38143297567806483
75% Corpus,8,0.81,symmetric,0.37617225212414274
75% Corpus,8,symmetric,0.01,0.3652630088717277
75% Corpus,8,symmetric,0.21000000000000002,0.3671858948945854
75% Corpus,8,symmetric,0.41000000000000003,0.37326418549936474
75% Corpus,8,symmetric,0.6100000000000001,0.3753246374693321
75% Corpus,8,symmetric,0.81,0.37702930691605513
75% Corpus,8,symmetric,symmetric,0.36058321753142286
75% Corpus,8,asymmetric,0.01,0.3822429091646877
75% Corpus,8,asymmetric,0.21000000000000002,0.3784050262531238
75% Corpus,8,asymmetric,0.41000000000000003,0.38689043308710114
75% Corpus,8,asymmetric,0.6100000000000001,0.391533139632643
75% Corpus,8,asymmetric,0.81,0.38995495545305836
75% Corpus,8,asymmetric,symmetric,0.3777743266280524
75% Corpus,9,0.01,0.01,0.36191815413617623
75% Corpus,9,0.01,0.21000000000000002,0.36872693516971555
75% Corpus,9,0.01,0.41000000000000003,0.3546564841095725
75% Corpus,9,0.01,0.6100000000000001,0.360199091868358
75% Corpus,9,0.01,0.81,0.36420563093711233
75% Corpus,9,0.01,symmetric,0.36596531107098357
75% Corpus,9,0.21000000000000002,0.01,0.3812242019253187
75% Corpus,9,0.21000000000000002,0.21000000000000002,0.39472875074004443
75% Corpus,9,0.21000000000000002,0.41000000000000003,0.36459775892908663
75% Corpus,9,0.21000000000000002,0.6100000000000001,0.36753651513412344
75% Corpus,9,0.21000000000000002,0.81,0.38350125060875645
75% Corpus,9,0.21000000000000002,symmetric,0.3857497465561061
75% Corpus,9,0.41000000000000003,0.01,0.3729442232734367
75% Corpus,9,0.41000000000000003,0.21000000000000002,0.38248616688097486
75% Corpus,9,0.41000000000000003,0.41000000000000003,0.374307827664899
75% Corpus,9,0.41000000000000003,0.6100000000000001,0.37465602920964786
75% Corpus,9,0.41000000000000003,0.81,0.3698756122100706
75% Corpus,9,0.41000000000000003,symmetric,0.3725676956840944
75% Corpus,9,0.6100000000000001,0.01,0.38216136007282
75% Corpus,9,0.6100000000000001,0.21000000000000002,0.38255847016173594
75% Corpus,9,0.6100000000000001,0.41000000000000003,0.381537727224228
75% Corpus,9,0.6100000000000001,0.6100000000000001,0.3725500232474495
75% Corpus,9,0.6100000000000001,0.81,0.3703022080603221
75% Corpus,9,0.6100000000000001,symmetric,0.3827423542255908
75% Corpus,9,0.81,0.01,0.37273607973504397
75% Corpus,9,0.81,0.21000000000000002,0.3732086594781616
75% Corpus,9,0.81,0.41000000000000003,0.3672946102324505
75% Corpus,9,0.81,0.6100000000000001,0.3689194676887411
75% Corpus,9,0.81,0.81,0.3641689513416677
75% Corpus,9,0.81,symmetric,0.368582193009283
75% Corpus,9,symmetric,0.01,0.38037209279165446
75% Corpus,9,symmetric,0.21000000000000002,0.3643638183102553
75% Corpus,9,symmetric,0.41000000000000003,0.36281910509657667
75% Corpus,9,symmetric,0.6100000000000001,0.3689252721713814
75% Corpus,9,symmetric,0.81,0.36730084555224574
75% Corpus,9,symmetric,symmetric,0.3673494263851599
75% Corpus,9,asymmetric,0.01,0.3732058547429318
75% Corpus,9,asymmetric,0.21000000000000002,0.3795826810000994
75% Corpus,9,asymmetric,0.41000000000000003,0.3714151280069574
75% Corpus,9,asymmetric,0.6100000000000001,0.371349488510085
75% Corpus,9,asymmetric,0.81,0.381527233661449
75% Corpus,9,asymmetric,symmetric,0.3816268157792408
75% Corpus,10,0.01,0.01,0.35977674477900107
75% Corpus,10,0.01,0.21000000000000002,0.3790141699727191
75% Corpus,10,0.01,0.41000000000000003,0.3760688163492448
75% Corpus,10,0.01,0.6100000000000001,0.3643833612540092
75% Corpus,10,0.01,0.81,0.3666980601879805
75% Corpus,10,0.01,symmetric,0.358800760517203
75% Corpus,10,0.21000000000000002,0.01,0.3597652445311119
75% Corpus,10,0.21000000000000002,0.21000000000000002,0.3665348969183879
75% Corpus,10,0.21000000000000002,0.41000000000000003,0.37630440398691783
75% Corpus,10,0.21000000000000002,0.6100000000000001,0.388127393392334
75% Corpus,10,0.21000000000000002,0.81,0.380208545636607
75% Corpus,10,0.21000000000000002,symmetric,0.3662772667070019
75% Corpus,10,0.41000000000000003,0.01,0.38611474911486154
75% Corpus,10,0.41000000000000003,0.21000000000000002,0.38377486274685035
75% Corpus,10,0.41000000000000003,0.41000000000000003,0.3748348895049819
75% Corpus,10,0.41000000000000003,0.6100000000000001,0.39335843601273346
75% Corpus,10,0.41000000000000003,0.81,0.38161286472696854
75% Corpus,10,0.41000000000000003,symmetric,0.38672400572964155
75% Corpus,10,0.6100000000000001,0.01,0.3801048675284483
75% Corpus,10,0.6100000000000001,0.21000000000000002,0.38866491694352134
75% Corpus,10,0.6100000000000001,0.41000000000000003,0.3819421006217837
75% Corpus,10,0.6100000000000001,0.6100000000000001,0.3742007071053897
75% Corpus,10,0.6100000000000001,0.81,0.3884033746457163
75% Corpus,10,0.6100000000000001,symmetric,0.3791602780518737
75% Corpus,10,0.81,0.01,0.38114970717671615
75% Corpus,10,0.81,0.21000000000000002,0.37586441018056693
75% Corpus,10,0.81,0.41000000000000003,0.3799322405299057
75% Corpus,10,0.81,0.6100000000000001,0.37326364788677213
75% Corpus,10,0.81,0.81,0.3738409422387722
75% Corpus,10,0.81,symmetric,0.379108071069367
75% Corpus,10,symmetric,0.01,0.36319587568170264
75% Corpus,10,symmetric,0.21000000000000002,0.35818075815253436
75% Corpus,10,symmetric,0.41000000000000003,0.3806034619414189
75% Corpus,10,symmetric,0.6100000000000001,0.383705511171964
75% Corpus,10,symmetric,0.81,0.3747441146313095
75% Corpus,10,symmetric,symmetric,0.3665487105219189
75% Corpus,10,asymmetric,0.01,0.3711517279910264
75% Corpus,10,asymmetric,0.21000000000000002,0.37105039342601537
75% Corpus,10,asymmetric,0.41000000000000003,0.3642882995440056
75% Corpus,10,asymmetric,0.6100000000000001,0.3673024425375894
75% Corpus,10,asymmetric,0.81,0.36865434919488693
75% Corpus,10,asymmetric,symmetric,0.3664819284729268
100% Corpus,3,0.01,0.01,0.35175414499964736
100% Corpus,3,0.01,0.21000000000000002,0.34239126657744956
100% Corpus,3,0.01,0.41000000000000003,0.36438482695638075
100% Corpus,3,0.01,0.6100000000000001,0.34752392651883907
100% Corpus,3,0.01,0.81,0.36274125882297986
100% Corpus,3,0.01,symmetric,0.34239126657744956
100% Corpus,3,0.21000000000000002,0.01,0.361162816528177
100% Corpus,3,0.21000000000000002,0.21000000000000002,0.36147313745658777
100% Corpus,3,0.21000000000000002,0.41000000000000003,0.34461223701904614
100% Corpus,3,0.21000000000000002,0.6100000000000001,0.3687432255019492
100% Corpus,3,0.21000000000000002,0.81,0.3687432255019492
100% Corpus,3,0.21000000000000002,symmetric,0.3687432255019492
100% Corpus,3,0.41000000000000003,0.01,0.3495369347882528
100% Corpus,3,0.41000000000000003,0.21000000000000002,0.3495369347882528
100% Corpus,3,0.41000000000000003,0.41000000000000003,0.3495369347882529
100% Corpus,3,0.41000000000000003,0.6100000000000001,0.3339012377366047
100% Corpus,3,0.41000000000000003,0.81,0.33390123773660463
100% Corpus,3,0.41000000000000003,symmetric,0.3495369347882529
100% Corpus,3,0.6100000000000001,0.01,0.3518427028704578
100% Corpus,3,0.6100000000000001,0.21000000000000002,0.3518427028704578
100% Corpus,3,0.6100000000000001,0.41000000000000003,0.3518427028704578
100% Corpus,3,0.6100000000000001,0.6100000000000001,0.3465413384754443
100% Corpus,3,0.6100000000000001,0.81,0.3465413384754443
100% Corpus,3,0.6100000000000001,symmetric,0.3518427028704578
100% Corpus,3,0.81,0.01,0.3529389710813944
100% Corpus,3,0.81,0.21000000000000002,0.35421208946951105
100% Corpus,3,0.81,0.41000000000000003,0.35421208946951105
100% Corpus,3,0.81,0.6100000000000001,0.35421208946951105
100% Corpus,3,0.81,0.81,0.3518427028704578
100% Corpus,3,0.81,symmetric,0.35421208946951105
100% Corpus,3,symmetric,0.01,0.3540597023754752
100% Corpus,3,symmetric,0.21000000000000002,0.338424005323827
100% Corpus,3,symmetric,0.41000000000000003,0.3509982607470958
100% Corpus,3,symmetric,0.6100000000000001,0.3509982607470958
100% Corpus,3,symmetric,0.81,0.3518823250644076
100% Corpus,3,symmetric,symmetric,0.35991191692585817
100% Corpus,3,asymmetric,0.01,0.37699972015488187
100% Corpus,3,asymmetric,0.21000000000000002,0.3634525852902992
100% Corpus,3,asymmetric,0.41000000000000003,0.3634525852902992
100% Corpus,3,asymmetric,0.6100000000000001,0.37535463979544564
100% Corpus,3,asymmetric,0.81,0.37535463979544564
100% Corpus,3,asymmetric,symmetric,0.3634525852902992
100% Corpus,4,0.01,0.01,0.37568592462284567
100% Corpus,4,0.01,0.21000000000000002,0.37365427208990565
100% Corpus,4,0.01,0.41000000000000003,0.3758653832639304
100% Corpus,4,0.01,0.6100000000000001,0.3758653832639304
100% Corpus,4,0.01,0.81,0.3758653832639304
100% Corpus,4,0.01,symmetric,0.3758653832639304
100% Corpus,4,0.21000000000000002,0.01,0.3958633299119178
100% Corpus,4,0.21000000000000002,0.21000000000000002,0.3904022328798678
100% Corpus,4,0.21000000000000002,0.41000000000000003,0.37904478280634063
100% Corpus,4,0.21000000000000002,0.6100000000000001,0.38797837374344396
100% Corpus,4,0.21000000000000002,0.81,0.3920092718622848
100% Corpus,4,0.21000000000000002,symmetric,0.3877825102816787
100% Corpus,4,0.41000000000000003,0.01,0.37875840124419013
100% Corpus,4,0.41000000000000003,0.21000000000000002,0.37875840124419013
100% Corpus,4,0.41000000000000003,0.41000000000000003,0.398181545977947
100% Corpus,4,0.41000000000000003,0.6100000000000001,0.398181545977947
100% Corpus,4,0.41000000000000003,0.81,0.398181545977947
100% Corpus,4,0.41000000000000003,symmetric,0.398181545977947
100% Corpus,4,0.6100000000000001,0.01,0.3856579446487403
100% Corpus,4,0.6100000000000001,0.21000000000000002,0.3856579446487404
100% Corpus,4,0.6100000000000001,0.41000000000000003,0.3856579446487404
100% Corpus,4,0.6100000000000001,0.6100000000000001,0.3856579446487404
100% Corpus,4,0.6100000000000001,0.81,0.3856579446487404
100% Corpus,4,0.6100000000000001,symmetric,0.38565794464874037
100% Corpus,4,0.81,0.01,0.38571065900198637
100% Corpus,4,0.81,0.21000000000000002,0.3856579446487404
100% Corpus,4,0.81,0.41000000000000003,0.38565794464874037
100% Corpus,4,0.81,0.6100000000000001,0.38565794464874037
100% Corpus,4,0.81,0.81,0.38565794464874037
100% Corpus,4,0.81,symmetric,0.3962952556144806
100% Corpus,4,symmetric,0.01,0.3888407710436392
100% Corpus,4,symmetric,0.21000000000000002,0.3904022328798678
100% Corpus,4,symmetric,0.41000000000000003,0.3877825102816787
100% Corpus,4,symmetric,0.6100000000000001,0.39231176530095896
100% Corpus,4,symmetric,0.81,0.39231176530095896
100% Corpus,4,symmetric,symmetric,0.40212026141344176
100% Corpus,4,asymmetric,0.01,0.3858329729064942
100% Corpus,4,asymmetric,0.21000000000000002,0.3982939764236276
100% Corpus,4,asymmetric,0.41000000000000003,0.3982939764236277
100% Corpus,4,asymmetric,0.6100000000000001,0.3984444350210342
100% Corpus,4,asymmetric,0.81,0.38769979523863796
100% Corpus,4,asymmetric,symmetric,0.3982939764236276
100% Corpus,5,0.01,0.01,0.36788193253777235
100% Corpus,5,0.01,0.21000000000000002,0.3913124231778119
100% Corpus,5,0.01,0.41000000000000003,0.39508250077818347
100% Corpus,5,0.01,0.6100000000000001,0.39129801115387564
100% Corpus,5,0.01,0.81,0.3802942637420862
100% Corpus,5,0.01,symmetric,0.3913124231778119
100% Corpus,5,0.21000000000000002,0.01,0.3734540886980612
100% Corpus,5,0.21000000000000002,0.21000000000000002,0.38983264650963284
100% Corpus,5,0.21000000000000002,0.41000000000000003,0.3960700804013511
100% Corpus,5,0.21000000000000002,0.6100000000000001,0.394547122914476
100% Corpus,5,0.21000000000000002,0.81,0.39454712291447597
100% Corpus,5,0.21000000000000002,symmetric,0.38268531168694675
100% Corpus,5,0.41000000000000003,0.01,0.3990894357622383
100% Corpus,5,0.41000000000000003,0.21000000000000002,0.3955542964658588
100% Corpus,5,0.41000000000000003,0.41000000000000003,0.3929722018391787
100% Corpus,5,0.41000000000000003,0.6100000000000001,0.3929722018391787
100% Corpus,5,0.41000000000000003,0.81,0.39297220183917875
100% Corpus,5,0.41000000000000003,symmetric,0.3929722018391787
100% Corpus,5,0.6100000000000001,0.01,0.4028810609409684
100% Corpus,5,0.6100000000000001,0.21000000000000002,0.40024075161985717
100% Corpus,5,0.6100000000000001,0.41000000000000003,0.40024075161985717
100% Corpus,5,0.6100000000000001,0.6100000000000001,0.398730072398238
100% Corpus,5,0.6100000000000001,0.81,0.398730072398238
100% Corpus,5,0.6100000000000001,symmetric,0.40074296031347145
100% Corpus,5,0.81,0.01,0.38023886031752774
